r_inhibition_list,f_concentration_uM,f_inhibition_list,r_concentration_uM,SMILES,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,trypsin_IC50,CHEMBL,Training,avg_IC50,ECFP,FCFP,ESTATE2,MACCS,DAYLIGHT,multi,ECFP_PC1,ECFP_PC2,FCFP_PC1,FCFP_PC2,multi_PC1,multi_PC2
,"[99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772, 99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772]","[60.13354, 46.33362, 26.42513, 22.7402, 13.31767, 11.36392, 7.975763, 12.35316, 66.34104, 54.27229, 31.14876, 20.95956, 11.01768, 5.329541, -5.205886, -9.583282]",,N#Cc1cccc(NC(=O)Nc2cncc(N)c2)c1,,,,,,54.272963984987776,,99.0,False,True,54.272963984987776,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b30d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b3370>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b33e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b3450>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b34c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x17e1e5d20>,-1.804632497556404,-0.23599193462095544,-2.2923231860659556,0.5301744104597861,5.287633584511633,3.8619102504953773
,"[99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772, 99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772]","[58.60022, 42.20354, 23.21009, 14.60368, 3.870409, 7.975763, 4.933845, 10.42414, 60.9744, 51.2551, 24.99072, 24.8918, 8.965005, 8.618771, -13.11982, -3.548906]",,N#Cc1cccc(NC(=O)Nc2c[nH]c3ncccc23)c1,,,,,,63.554925204043705,,99.0,False,True,63.554925204043705,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b3300>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b35a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b3610>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b3680>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b36f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x17e1e5d90>,-1.2803525784639753,0.6078148040711021,-1.629978337951027,0.5534054229430165,0.8029259966627101,3.2176465869494533
,"[99.01, 49.5, 24.75, 12.38, 6.188, 3.713, 1.238, 0.772, 99.01, 49.5, 24.75, 12.38, 6.188, 3.713, 1.238, 0.772]","[34.48745, 27.38964, 8.767157, 10.25102, -4.389761, 10.10263, -5.008038, 8.049956, 41.16483, 32.8552, 9.805861, 17.81872, -5.131693, 2.262891, -24.66922, -4.538147]",,N#Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,,,,,,99.01,,99.0,False,True,99.01,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b3990>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b3c30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b3ca0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b3d10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03b3d80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x17e1e5ee0>,-3.0611106172106086,0.1709253714043172,-6.597454200021993,2.0583409137879713,3.6919515774644354,4.536723793700726
"[68.03841502614264, 41.34060646640253, 13.261456363522411, 4.028590965188629, 2.4562756305577604, 0.8618965876460343, 1.3238835925339432, -0.3989063159837539, -0.11236146800345788, -3.2329554474117783, 0.6952353115390527, 68.60199493400746, 41.549689249881794, 9.629103313000742, 3.595753956983516, 2.5571445674058517, -15.86398344940417, 0.1699870028847929, -3.9498405418901585, -3.0268537328430454, -1.330380369256431, -1.1216013489933139]","[99.01, 49.5, 24.75, 12.38, 6.188, 3.713, 1.238, 0.772, 99.01, 49.5, 24.75, 12.38, 6.188, 3.713, 1.238, 0.772]","[21.94881, 25.36169, 3.301595, 8.965005, -4.538147, 9.632744, -7.110177, 10.02844, 31.64338, 33.39928, 6.862866, 17.0026, -5.255348, 2.559664, -21.75096, -2.089774]","[100.0, 33.333333333333336, 11.111111111111112, 3.703703703703704, 1.234567901234568, 0.41152263374485604, 0.13717421124828535, 0.045724737082761785, 0.015241579027587262, 0.005080526342529088, 0.0016935087808430292, 100.0, 33.333333333333336, 11.111111111111112, 3.703703703703704, 1.234567901234568, 0.41152263374485604, 0.13717421124828535, 0.045724737082761785, 0.015241579027587262, 0.005080526342529088, 0.0016935087808430292]",Cc1ccncc1NC(=O)Nc1cccc(C#N)c1,,,49.32921305457317,,,99.01,,99.0,False,False,74.16960652728659,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c8ba0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c8dd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c8e40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c8eb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c8f20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x17e1e6260>,-3.412996230377738,1.4465953120445814,-3.5704062992210486,-0.14208550814537368,3.6219957100142577,3.931419518213738
"[45.4397475906812, 19.954840041823335, 1.1405103358436908, -36.98351250651069, -5.570142366288297, 3.6090354135345377, -0.6273738908188095, -8.481952124343307, -6.753572857374819, -7.750700228888327, -3.5963043078966592, 41.810991044739296, 13.906204866229999, 3.1066390571358036, -3.7651128262175257, 1.6812008471887148, 4.893042649694637, 1.3932233502193563, 5.614052401892415, -1.0564094939876008, -2.9601894500416503, -4.458844297124202]",,,"[100.0, 33.333333333333336, 11.111111111111112, 3.703703703703704, 1.234567901234568, 0.41152263374485604, 0.13717421124828535, 0.045724737082761785, 0.015241579027587262, 0.005080526342529088, 0.0016935087808430292, 100.0, 33.333333333333336, 11.111111111111112, 3.703703703703704, 1.234567901234568, 0.41152263374485604, 0.13717421124828535, 0.045724737082761785, 0.015241579027587262, 0.005080526342529088, 0.0016935087808430292]",O=C(Nc1cccnc1)N(CCN1CCOCC1)c1cccc(Cl)c1,,,99.0,,,,,,False,True,99.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c8d60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9000>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9070>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c90e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9150>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x17e1e62d0>,-4.877935934127736,0.8126461041094617,-10.041139780858625,-0.10084731381266018,-0.6776581993683497,1.3627338967870148
"[100.11970415440923, 92.84280359073324, 79.46860085478603, 80.6175611641512, 41.28920796438488, 13.910116757286389, 5.650817434660032, 4.338946165147137, -0.20329494025776493, -2.158159879807221, -4.006122599663913, 99.58726824214261, 93.23080444508336, 79.4969395000699, 78.74376786529172, 57.397580723607156, 2.4042726649814847, 3.9026523745439095, 1.5939077470021317, -2.0073376458085863, -5.478205403821166, -2.863203745202271]","[99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02, 0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38]","[93.56961, 58.14995, 87.55022, 31.58797, 79.35604, 18.95573, 68.95389, 6.135501, 53.50916, 4.686866, 24.65443, 2.298279, 9.983781, 22.53861, 10.44454, -2.043938, 0.997088, 1.970216, -4.963323, -4.871171, 93.23049, 87.81562, 75.77316, 63.10406]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]",COc1cc(Cl)cc(OC(=O)Nc2cccnc2)c1,,,1.5134895531975447,,,6.684420445446288,,99.0,False,False,4.098954999321917,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c91c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9460>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c94d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9540>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c95b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x17e1e63b0>,-4.052668440537569,1.2709918021323374,-4.927782030950752,1.6111001128245745,3.9686028567202634,3.769793901530327
"[109.58441833082733, 106.60371441014071, 72.77724112840936, 62.32219631569799, 15.443852835808594, -3.501681932797958, -5.804953144237617, -7.024332020882137, -8.650170523074829, -6.595291305025721, -6.21141276978579, 108.77149907973096, 106.33274132644192, 73.13853857334105, 66.34163039056327, 3.92749677861033, -8.017899994444335, -11.992171888693141, -9.259859961397082, -8.153386536293732, -5.195263705915349, -4.608155357901325]","[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]","[87.95397, 86.71816, 79.45461, 60.40668, 38.7169, 13.61602, 7.386507, 3.433165, 89.56809, 87.70807, 76.80643, 54.0826, 36.08134, 11.49117, 3.111602, -2.651324]","[100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002, 100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002]",CS(=O)(=O)N1CCN(C(=O)CCl)CC1c1ccccc1,,,3.308583294583211,,,10.562354385868,,99.0,False,False,6.935468840225606,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c93f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9690>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9700>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9770>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c97e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x17e1e6420>,-1.4560611263378056,0.4675695520688833,0.011406649020390729,-3.86842444785025,0.7341045759550614,-1.2875802625796071
"[86.10546851580064, 76.14730725091275, 50.44383365827583, 46.556034642079425, 12.195183626424901, 6.340787638554303, 4.903463995230272, 0.15687592298858716, -3.7589636299238567, -1.2575433286292679, -3.0125618924148854, 86.78144651487206, 71.13107658290654, 50.25211976852402, 41.136883580386225, 18.464607067475992, 3.356585990008383, 2.489840733825081, 4.668334171454493, -1.398960635648722, -5.70790450396792, -8.014137855813956]","[0.389, 0.194, 0.1, 0.05, 99.5, 49.75, 24.88, 12.44, 99.5, 7.463, 49.75, 2.488, 24.88, 1.555, 12.44, 0.777, 7.463, 0.389, 2.488, 0.194, 1.555, 0.1, 0.777, 0.05, 99.5, 7.460000038146973, 49.79999923706055, 2.490000009536743, 24.899999618530273, 1.5499999523162842, 12.399999618530273, 0.7760000228881836, 7.460000038146973, 0.3880000114440918, 1.5499999523162842, 0.10000000149011612, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.79999923706055, 24.899999618530273, 12.399999618530273, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833, 99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806]","[12.28522, 17.37113, 24.59908, 17.07331, 101.8728, 107.9324, 100.8648, 83.0756, 108.6655, 57.37113, 109.7423, 12.29668, 97.2795, 10.6701, 83.6827, 16.54639, 54.7709, 5.126002, 33.36197, 5.744559, 18.73425, -10.25773, 20.04009, 2.113402, 84.3381576538086, 15.053592681884766, 57.210784912109375, 48.75477600097656, 41.436012268066406, 1.5533056259155273, 62.960391998291016, 1.9218195676803589, 70.5882339477539, 53.85453414916992, 81.36627197265625, 91.14575958251953, -1.4463177919387817, 5.503932476043701, -0.4834267497062683, 1.0738414525985718, 74.80831146240234, 66.10266876220703, 37.77465057373047, 20.815088272094727, -1.9360991716384888, -0.04768717288970947, -3.3333332538604736, 0.21936099231243134, 77.2865982055664, 60.2193603515625, 37.31998062133789, 23.314258575439453, 80.55316925048828, 6.590366840362549, 58.51215744018555, 1.1635669469833374, 33.84835433959961, -3.505007028579712, 21.16356658935547, -2.269909381866455, 6.952789306640625, -6.652360439300537, 0.8774439692497253, -3.843585968017578, -3.829279899597168, -7.024320125579834, 0.5007153153419495, -1.8502622842788696]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]",O=C(CCl)Nc1nc2c(S(=O)(=O)NCCc3ccccc3)cccc2s1,,,8.547621255177095,,,18.90278925520038,,99.0,False,False,13.725205255188737,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9620>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c98c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9930>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c99a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9a10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x17e1e6490>,-1.1828364116235943,1.250510187089278,-2.463137113669732,-0.12534684698645468,-3.808625377539437,-0.4424911916015425
"[113.71905827019009, 99.59869561670386, 44.57166297040753, 11.407732065465993, 0.23008148776780665, -2.6764618221607597, -3.4890254931504994, -3.7321556398661007, -3.026726292777619, 0.20042899434876016, -0.34428083514681185, 117.45048976190435, 101.73969003202758, 45.33965115281127, 14.35867860160253, 0.32820922928947827, 0.7342063842698643, -4.284330305859923, -2.6550971236491154, -5.830604364134366, -0.2290864671553399, 1.4135760062797422]","[0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38, 99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02]","[4.491807, 8.459874, -3.018785, 1.578498, 85.74805, 71.66525, 60.89218, 42.72491, 90.96365, 25.4269, 78.99034, 11.20588, 66.24961, -6.484933, 42.02295, -0.9347324, 24.60492, -9.121824, 4.830057, -7.492407, -4.317227, -13.73366, -2.636891, -2.058594]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]",CC(=O)NCCc1c[nH]c2c(CN3CCN(C(=O)CCl)CC3)cccc12,,,11.5067799814366,,,17.360829751983612,,,False,False,14.433804866710105,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9850>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9af0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9b60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9bd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9c40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x17e1e6500>,-1.073616772119912,1.5425121768495653,0.21346415757773643,-1.9691111579223786,-1.3523512052529094,-0.9347852097042026
"[39.77790571957318, -0.11117527949091839, -3.56350864190573, -4.2215990640408, -3.8028019832465025, -4.301860921373259, 16.29796148457402, 16.272536473574963, 13.937135683804373, 15.646424815598545, 38.10544331200933, -0.8817349707171364, -4.265487536890046, -5.755235994617477, -2.235166301144492, -4.597940378680421, 30.75983273315441, 15.764390274639654, 15.62278800562614, 10.39492999450862]",,,"[33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]",CS(=O)(=O)N(CCc1ccccc1)CC1CCN(C(=O)CCl)CC1,,,99.0,,,,,,False,True,99.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9a80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9d20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9d90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9e00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x2a03c9e70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x17e1e6570>,-1.2809992240948036,1.4893401922742808,0.2685270838296687,-3.608919159359364,4.224152866118293,-1.3695852104062636
