f_concentration_uM,f_inhibition_list,r_concentration_uM,r_inhibition_list,SMILES,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,trypsin_IC50,CHEMBL,Training,avg_IC50,FCFP_PC1_bin,FCFP_PC2_bin
"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]","[87.18474, 66.81904, 43.64124, 27.0082, 5.110341, 0.8228247, -4.088903, -3.672762, 66.0435, 55.58323, 30.35624, 14.85183, 2.191047, -4.940101, -11.09395, -12.20366]","[100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002, 100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002]","[110.10378340791667, 98.85840043441718, 45.9734869325381, 18.176164763104655, 10.159877703682326, -8.130805445985487, -7.746926910745558, -8.130805445985487, -1.0403430892006906, -1.559708166290017, -0.04677511563847676, 109.74248596298494, 98.18096772517022, 44.16699970787955, 34.68294177842215, 13.321230346834803, 17.860029498789405, 8.285647208099084, 4.062983320459726, 4.492024036316128, 7.721119950393287, 8.66952574333903]",O=C(CCl)N1CCN(Cc2cc(O)ccc2O)CC1,,,9.283150233975826,,,37.40705629144931,,99.0,False,False,23.345103262712566,29.0,3.0
"[99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02, 0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38]","[91.75289, 31.56995, 80.6525, 13.42087, 62.55433, 3.775301, 45.09629, 6.641328, 24.24485, -1.978577, 10.75124, -1.520304, -0.9129099, -8.05252, 2.7751, 0.1163869, -4.673662, -1.654876, -14.11919, -5.877539, 86.3409, 75.67696, 49.63174, 31.34081]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]","[92.00575806749434, 90.59083262788235, 28.51067367769189, 27.409856219437856, -0.25502984509125487, -4.257287034712973, -1.3338606052964186, -1.1858584976575326, -2.6479058071312545, -7.0799922131628845, 0.5932777061181872, 95.28719295374142, 93.3631394796645, 30.403439445460613, 3.74790313763523, -3.121526905869009, -4.237116101462417, -3.6425941645430253, -2.940601652541149, -5.560576220932094, -0.01578069631941436, 2.432768837503239]",O=C(CCl)N1CCC(c2nc(-c3cccnc3)nc3ccccc23)CC1,,,14.853021465491892,,,18.175217572366563,,99.0,False,False,16.514119518929228,23.0,10.0
"[99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02, 0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38]","[72.47042, 40.55623, 72.20133, 25.76763, 70.17398, 15.73777, 63.32154, 8.479856, 53.07051, 1.000774, 18.39176, -1.605293, 10.41874, -6.880091, 5.460946, -0.9233661, -2.814332, 1.417302, -10.20495, -5.92908, 70.50941, 70.19978, 66.93022, 56.67183]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]","[96.85815402013692, 83.78214144543615, 82.64160777723062, 77.94628244514536, 38.24435136262462, 4.826959622081165, 6.470796656362156, 4.9377080743486275, 6.201393677574566, 4.937503546049894, 7.337291297847302, 91.34133664517992, 84.4942662777559, 80.83149157202367, 74.80336487127445, 26.933289104240803, 2.612701503051122, -0.13009107020822205, 0.08944869008655613, 0.9568311311293404, -0.20629275508429654, 0.42197572402704575]",C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(Cl)c1,,,2.112800878897773,,,11.479769015703448,,99.0,False,False,6.79628494730061,12.0,7.0
"[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]","[70.48803, 5.154806, 40.58451, 0.8799903, 1.291729, -8.295321, -1.735761, -7.286159, 5.405078, -0.4359585, 4.948936, 1.420902, -0.209906, -3.285836, -1.83264, -0.197796, 0.4319219, -0.8799903, -3.576474, -2.615751, 72.81718, 43.05898, 19.02071, 6.66855]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]","[100.0, 19.226620023670616, -2.0224766174052453, 2.0497083067126045, 4.94883584528211, 5.3342689862479915, 9.071294657352034, 0.3236381536914683, 10.076772416393482, 7.663625794694005, 9.490243723619303, 72.41639347696304, 21.22081757910282, -0.9164510824596499, 3.6919886464803042, -7.167171151167303, -0.6650816426992912, -3.2458078909056645, -6.061145616221708, -1.6705594017407381, 6.423536558542888, 2.770300700692306]",COc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)noc2c1,,,53.41268683009546,,,61.50219391052705,,,False,False,57.457440370311254,12.0,19.0
"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]","[94.28941, 96.13695, 91.50517, 83.51421, 66.36951, 33.1783, 18.74677, 14.17959, 93.66925, 95.51033, 91.16279, 81.80878, 60.90439, 29.22481, 12.34496, 7.105943]","[100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002, 100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002]","[96.71981081699596, 100.05594121087293, 100.05594121087293, 88.42016934930201, 56.6048770564752, 19.744704655834425, -0.9230299794034622, 9.85836702519897, 14.577770997024942, 4.650748849391009, 12.177384494113456, 94.11600172909198, 98.18445342894195, 100.05594121087293, 87.64716352633052, 46.10827167086226, 15.594883921987435, -8.04282045414092, 1.9248862104915183, 10.916164467159968, -0.5161848094184587, 9.695628957204972]",N#Cc1cc(CN2CCN(C(=O)CCl)CC2)c2ccccc2c1,,,1.1623743911975797,,,4.606205937262608,,99.0,False,False,2.884290164230094,26.0,6.0
"[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]","[80.99075, 92.37385, 89.0279, 89.16731, 91.07928, 84.34937, 90.72984, 73.80637, 89.14558, 56.10979, 84.78028, 39.24607, 82.71985, 23.89238, 72.42671, 13.63003, 54.84782, 38.3263, 21.23988, 9.322662, 83.58893, 86.87875, 90.38221, 90.46007]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]","[84.37260686711444, 90.54924361308142, 93.42665243864164, 90.4287238716967, 88.03339401167536, 58.53618730776474, 43.47121963467454, 2.660222208273178, -1.7839432552884358, -1.588098675538249, -0.5184859707488539, 83.19753938861341, 90.06716464754254, 91.27236206138974, 92.34197476617916, 88.77157742765678, 49.09045257673718, 36.300295022283606, 4.919967359236709, -0.5184859707488539, -1.151214613018645, -0.9403050655953813]",O=C(Nc1cncc2ccccc12)C1CCCc2ccc(Cl)cc21,,,0.2894929169584353,,,0.3238723482810183,,,False,False,0.30668263261972684,0.0,23.0
"[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]","[98.4453, 72.06287, 93.58743, 33.87166, 86.7571, 24.62102, 79.01378, 15.37898, 66.49009, -1.072351, 40.09044, 2.04565, 30.07321, -0.6244617, 21.14126, 3.3118, 3.492679, 13.85444, -4.939707, -8.324719, 94.29371, 91.72696, 81.65805, 72.01981, 96.91531, 69.62763, 94.30238, 44.8686, 89.34567, 35.07212, 81.29205, 22.32826, 70.64725, 6.843672, 41.93211, -14.43778, 30.78701, 0.7314056, 18.28786, -1.163723, 7.795315, 36.92102, -1.832592, -5.794146, 95.03922, 92.55951, 85.38684, 76.10424]","[100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002, 100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002]","[81.33515545955065, 89.90710711251646, 87.22185714191065, 85.06799370328022, 69.62553156558202, 12.935611458569818, 16.89527076193737, 42.81632852355725, 9.275436425429632, 10.464461257511937, 11.09841660291204, 83.25750072091772, 91.40040109330847, 88.15328153099968, 84.37404100403052, 62.539401979905605, 17.065015150073652, 17.298193549385058, 12.356760117734812, 6.886347574858832, 12.948765023603084, 9.488970679603]",Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,,,0.9407487777541652,,,3.628902727138248,,99.0,False,False,2.2848257524462063,12.0,16.0
"[0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.79999923706055, 24.899999618530273, 12.399999618530273, 99.5, 7.460000038146973, 49.79999923706055, 2.490000009536743, 24.899999618530273, 1.5499999523162842, 12.399999618530273, 0.7760000228881836, 7.460000038146973, 0.3880000114440918, 2.490000009536743, 0.1940000057220459, 1.5499999523162842, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.79999923706055, 24.899999618530273, 12.399999618530273, 99.5, 7.460000038146973, 49.79999923706055, 2.490000009536743, 24.899999618530273, 1.5499999523162842, 12.399999618530273, 0.7760000228881836, 7.460000038146973, 0.3880000114440918, 2.490000009536743, 0.1940000057220459, 1.5499999523162842, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806]","[36.054840087890625, 24.804658889770508, 12.389668464660645, 11.535957336425781, 86.20677185058594, 86.43828582763672, 85.02025604248047, 85.454345703125, 85.93907928466797, 87.00984191894531, 85.48328399658203, 79.4566650390625, 83.53711700439453, 67.49746704101562, 85.40370178222656, 54.04789352416992, 88.64491271972656, 30.46230697631836, 80.04268646240234, 20.630155563354492, 68.0256118774414, 5.863840103149414, 55.039066314697266, 5.878309726715088, 36.054840087890625, 24.804658889770508, 12.389668464660645, 11.535957336425781, 86.20677185058594, 86.43828582763672, 85.02025604248047, 85.454345703125, 85.93907928466797, 87.00984191894531, 85.48328399658203, 79.4566650390625, 83.53711700439453, 67.49746704101562, 85.40370178222656, 54.04789352416992, 88.64491271972656, 30.46230697631836, 80.04268646240234, 20.630155563354492, 68.0256118774414, 5.863840103149414, 55.039066314697266, 5.878309726715088]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]","[99.11829661949699, 100.0, 96.29158052721874, 89.5835160882179, 76.9311657589682, 48.43452422625465, 19.183990880634656, 12.252198270987874, 2.9365488443147147, 1.7467401053842597, 19.139137064031807, 98.21046559809177, 100.0, 96.51087531340053, 90.87871048827543, 75.80705426745612, 33.36116973471037, 27.357451196386172, 13.203935479377868, 4.637454943775512, 4.221312443568241, 2.5901156367650433, 88.26631778841022, 95.50831280708194, 90.6693111130186, 83.59526209408753, 78.72358471285979, 47.3108011668171, 32.31692395583008, 5.180767109064271, 1.9585680556208216, -0.16461081574304204, -2.720911077193278, 90.55716117141218, 96.1916905229102, 90.74886096763993, 87.18734553729962, 78.60665335968994, 38.17837741765718, 25.81089329458696, 9.141842329072924, 0.017551938236843128, -1.7975651645594306, -1.1491389760888653]",O=C(Nc1cncc2ccc(F)cc12)C1CCOc2ccc(Cl)cc21,,,0.4692431688384237,,,0.7666156173262608,,,False,False,0.6179293930823423,4.0,26.0
"[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]","[28.84065, 19.34917, 7.958061, 11.15533, 99.05019, 99.63211, 100.0468, 100.1003, 99.38463, 93.96331, 100.1906, 85.9902, 99.38128, 74.03053, 99.6388, 49.43229, 99.26423, 27.36911, 87.88649, 17.51308, 74.95694, 2.118694, 51.3152, 1.219043]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]","[99.64862485340277, 100.16815212586914, 98.96953306204324, 93.94172263653184, 78.60286964628523, 22.54594034186166, 2.5945133869311485, 0.21158470251790915, 0.9131078640076112, 2.2236863362453487, 2.583156146933147, 98.99509875304126, 100.02187661029838, 98.6287614761784, 97.35452296479488, 78.18781084670924, 22.407975651515113, 3.8492620324951474, 1.2377771770227364, -0.869708143758032, 3.2401154899994755, 2.2940090467904244]",Cc1c(C(=O)CCl)c2ccccn2c1C(=O)c1ccc(F)cc1,,,0.7064888906899482,,,0.7191263476921439,,,False,False,0.7128076191910461,20.0,16.0
"[0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05]","[41.50265, 26.30558, 14.64691, 11.70382, 89.08379, 82.60899, 78.6124, 75.65258, 99.37794, 75.65258, 86.69588, 78.60236, 75.43854, 77.97696, 76.60574, 61.29496, 76.72948, 41.04781, 78.03381, 24.51297, 76.10073, 5.680507, 61.91703, 4.376181]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]","[88.8616806000276, 95.14867191958429, 92.18373961176769, 88.13593130991748, 75.53605093566877, 27.851824086879578, 10.152744572785567, 2.6365516072804374, 0.843412734526101, 1.965538269868916, 2.503162459967268, 86.45594022978754, 94.09343349510033, 91.16668928397283, 88.13151033116917, 73.03729023292797, 27.36593147822323, 9.905410080653356, 5.27277882955496, 0.8364129230598403, -0.038854269090256625, 1.4479138227035095]",O=C1OC(c2cccs2)=N/C1=C\c1ccc(N2CCOCC2)s1,,,0.7061785212080123,,,0.6956825136632164,,,False,False,0.7009305174356144,29.0,18.0
