r_inhibition_list,f_concentration_uM,f_inhibition_list,r_concentration_uM,SMILES,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,trypsin_IC50,CHEMBL,Training,avg_IC50
,,,,COCCN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,,,,,,1.8825441119826425,,,False,True,1.8825441119826425
,"[99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833]","[77.76182556152344, 21.013980865478516, 66.11720275878906, 9.705766677856445, 49.29682540893555, 4.572680473327637, 34.189666748046875, 2.754438877105713, 18.304670333862305, -2.8463356494903564, 5.665594577789307, -2.859463691711426, 2.605106830596924, -2.3080835342407227, 1.7222422361373901, -0.44061174988746643, -0.9050182104110718, 1.1462470293045044, -4.014736175537109, -1.1560930013656616, 75.33148193359375, 63.09281539916992, 44.239227294921875, 28.892480850219727]",,Cc1cnnn1-c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,,,,,,28.41882256976588,,,False,True,28.41882256976588
,"[99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833]","[98.66206359863281, 97.7414779663086, 98.31856536865234, 95.73543548583984, 97.8788833618164, 92.18707275390625, 97.76209259033203, 86.7322769165039, 97.13005065917969, 77.80812072753906, 95.13087463378906, 66.4622802734375, 92.06684875488281, 44.47822189331055, 88.34329223632812, 26.72952651977539, 79.45692443847656, 66.90196228027344, 45.958709716796875, 28.488252639770508, 99.99140930175781, 99.89179992675781, 98.27391052246094, 99.09143829345703]",,CN1CCN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1,,,,,,0.1156507783810892,,,False,True,0.1156507783810892
,"[99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833]","[0.45693638920783997, 1.6391265392303467, 2.9036715030670166, 2.893044948577881, -6.386483192443848, -5.804686069488525, -3.865363121032715, -2.324531078338623, -0.919185996055603, -0.7119706869125366, 1.2246958017349243, 0.7491631507873535, -4.075234889984131, -2.8877317905426025, -2.2953083515167236, -1.9632325172424316, -1.8516550064086914, -0.48350247740745544, -4.574676990509033, -1.5089527368545532, -1.782583236694336, -0.6508687138557434, -0.7783858180046082, 0.289570152759552]",,CCCc1cc2c(cc1S(=O)(=O)N1CCN(c3cccc(Cl)c3Cl)CC1)OCO2,,,,,,99.49999999999996,,,False,True,99.49999999999996
,"[0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833, 99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806]","[0.8779973387718201, -2.003441572189331, 3.236908435821533, 5.362189769744873, 21.746448516845703, 8.494843482971191, 0.7925841212272644, 2.922889471054077, 20.952608108520508, -2.5812368392944336, 6.771507263183594, -4.9125142097473145, -0.4785650670528412, -2.131561517715454, 0.17710675299167633, 0.10174217820167542, -2.611382484436035, -3.1339101791381836, -2.3752403259277344, 1.0538480281829834, -3.6815595626831055, -3.837312936782837, -1.3804278373718262, -1.204577088356018]",,NC(=O)c1ccncc1NC(=O)Cc1cccc(Cl)c1,,,,,,99.49999999999996,,,False,True,99.49999999999996
,"[99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833]","[95.28208923339844, 61.09107971191406, 91.72982788085938, 34.393821716308594, 83.59691619873047, 21.82365608215332, 73.65714263916016, 14.100462913513184, 54.523292541503906, 2.300569534301758, 30.345802307128906, 0.3871839940547943, 20.057769775390625, 1.173843502998352, 12.55582332611084, 2.7594542503356934, 5.361166477203369, 4.88589334487915, -1.7843241691589355, 0.6002376079559326, 92.36079406738281, 88.77165985107422, 81.11402130126953, 70.0802993774414]",,O=C(Nc1cncc2ccccc12)C1(CNc2c[nH]c(=O)[nH]c2=O)CCOc2cc(Cl)ccc21,,,,,,5.358482824606279,,,False,True,5.358482824606279
,"[99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833]","[19.704538345336914, 4.186890602111816, 13.248669624328613, 3.673248291015625, 9.728570938110352, 2.1417465209960938, 5.798501491546631, 1.8919938802719116, 1.368927001953125, -1.9909523725509644, -0.32279348373413086, -2.0475001335144043, -0.761038601398468, -0.7940248250961304, -0.24268414080142975, -0.3699166178703308, -2.5705668926239014, -1.9862401485443115, -1.7836105823516846, -0.7233400940895081, 15.755620002746582, 9.64846134185791, 4.563875675201416, 1.444324016571045]",,CC(C)(C)c1ccc(N(C(=O)c2ocnc2C(F)(F)F)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,,,,,,99.49999999999996,,,False,True,99.49999999999996
"[99.38235707848101, 76.98272193417722, 31.027526050632908, 22.66931293670886, 14.294448, -4.463968177215197, -3.2530367848101283, 8.173001316455691, 9.537542430379748, 5.215204101265819, 8.953785265822782, 85.22095304810126, 74.57092113417721, 26.04164255696203, 28.206293696202533, -0.8018856455696185, -4.718724759493672, -1.0131402531645561, -6.283555443037968, 4.3039268354430416, 2.993449898734176, 6.374724759493675]","[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]","[88.00674, 77.20287, 58.92289, 40.24014, 22.89655, 10.4716, 7.204259, 0.8432658, 84.92316, 73.01675, 50.05978, 32.57523, 20.50772, 5.087285, 0.7098536, 3.398236]","[100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002, 100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002]",Cc1ccncc1NC(=O)Cc1cccc(Br)c1,,,15.942976151608336,,,20.593944072484167,,,False,False,18.268460112046252
,,,,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCOCC1,,,,,,0.1157828118176719,,,False,True,0.1157828118176719
,,,,COC(C)(C)CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,,,,,,0.1999530127134952,,,False,True,0.1999530127134952
,,,,CC(C)(C)NC(=O)CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,,,,,,1.0077428014098342,,,False,True,1.0077428014098342
,"[0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833, 99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806]","[10.05254077911377, 5.3595170974731445, -0.39405831694602966, 2.1259689331054688, 94.04047393798828, 93.10640716552734, 89.17231750488281, 82.87711334228516, 95.11075592041016, 72.69645690917969, 93.60587310791016, 48.31998062133789, 88.79609680175781, 34.47442626953125, 82.96467590332031, 20.842927932739258, 72.35591888427734, 5.42438268661499, 47.10375213623047, 1.0492005348205566, 32.45386505126953, -4.620049953460693, 19.762916564941406, -2.8005707263946533]",,O=C1[C@@H](c2cccc(Cl)c2)CCN1c1cncc2ccccc12,,,,,,2.957049817706694,,,False,True,2.957049817706694
,,,,COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@H](C(=O)Nc3cncc4ccccc34)C2)CC1,,,,,,18.45866649275368,,,False,True,18.45866649275368
"[30.767862624201967, -4.712316494292129, -24.75323103576491, -22.184855685445015, -11.46460430984882, 0.5133389645497667, -4.437002409025043, -6.304914782519792, -4.894449532412047, -5.987161374880003, -2.649275206189239, 29.82317449941468, -7.107094321826396, -19.854627992774564, -14.868501637125295, -1.74554650954391, 7.421312489357816, 1.8326667475692175, 2.7635724798400303, -0.850708901727819, -4.234712729550086, -3.9649996542476966]","[0.388, 0.194, 0.1, 0.05, 99.5, 49.75, 24.88, 12.44, 99.5, 7.463, 49.75, 2.488, 24.88, 1.552, 12.44, 0.776, 7.463, 0.388, 2.488, 0.194, 1.552, 0.1, 0.776, 0.05]","[0.7324672, 0.6172477, 1.527247, -2.096291, 24.37364, 18.81018, 4.226677, 3.413086, 24.19728, -2.082182, 11.26918, -1.623655, 1.195697, -8.32285, -3.826936, -5.912645, -1.602493, -4.318382, -1.811769, -1.908177, -3.286109, -4.271354, 6.646288, -5.733937]","[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]",Cc1ccncc1NC(=O)CCc1cccc(Cl)c1,,,99.0,,,99.49999999999996,,,False,False,99.24999999999997
,"[99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833]","[105.96601104736328, 96.67314147949219, 104.52220916748047, 91.4776382446289, 99.62554931640625, 85.85367584228516, 97.08720397949219, 78.12342071533203, 94.56685638427734, 61.33794021606445, 91.4920425415039, 47.02959442138672, 85.97969055175781, 29.145963668823242, 77.51853942871094, 16.472240447998047, 60.369407653808594, 44.31122589111328, 26.52480697631836, 17.23914337158203, 105.33232116699219, 104.43219757080078, 101.44739532470703, 98.61380767822266]",,N#Cc1cc(Cl)cc2c1NCCC2C(=O)Nc1cncc2ccccc12,,,,,,0.2421584932742001,,,False,True,0.2421584932742001
