,f_inhibition_list,r_concentration_uM,r_inhibition_list,f_concentration_uM,SMILES,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,trypsin_IC50
0,"[60.13354, 46.33362, 26.42513, 22.7402, 13.31767, 11.36392, 7.975763, 12.35316, 66.34104, 54.27229, 31.14876, 20.95956, 11.01768, 5.329541, -5.205886, -9.583282]",,,"[99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772, 99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772]",N#Cc1cccc(NC(=O)Nc2cncc(N)c2)c1,,,,,,54.272963984987776,,99.0
1,"[58.60022, 42.20354, 23.21009, 14.60368, 3.870409, 7.975763, 4.933845, 10.42414, 60.9744, 51.2551, 24.99072, 24.8918, 8.965005, 8.618771, -13.11982, -3.548906]",,,"[99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772, 99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772]",N#Cc1cccc(NC(=O)Nc2c[nH]c3ncccc23)c1,,,,,,63.554925204043705,,99.0
4,"[34.48745, 27.38964, 8.767157, 10.25102, -4.389761, 10.10263, -5.008038, 8.049956, 41.16483, 32.8552, 9.805861, 17.81872, -5.131693, 2.262891, -24.66922, -4.538147]",,,"[99.01, 49.5, 24.75, 12.38, 6.188, 3.713, 1.238, 0.772, 99.01, 49.5, 24.75, 12.38, 6.188, 3.713, 1.238, 0.772]",N#Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,,,,,,99.01,,99.0
20,"[86.45965, 74.07629, 54.48613, 34.78247, 13.95019, 1.030895, -0.1860025, 2.127995, 81.89471, 72.21627, 49.2087, 28.5971, 13.68537, 1.4029, -7.777428, -8.880833]",,,"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]",O=C(Nc1cnccc1Cl)c1cc(Cl)ccc1O,,,,,,24.184515598768144,,99.0
21,"[74.30878, 60.07106, 40.2584, 30.70413, 10.5491, 7.803617, -2.971576, 2.015504, 65.05168, 59.0956, 34.21188, 22.84238, 7.945736, 0.4780362, -10.96899, -6.401809]",,,"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]",O=C(Nc1cccnc1)c1cc(Cl)ccc1-c1ccccc1,,,,,,39.068781630212975,,99.0
31,"[44.42933, 43.88525, 28.08211, 26.0047, 13.88648, -28.25522, 8.470385, 14.23272, 50.9336, 50.2164, 28.65092, 22.023, 9.558551, 6.640287, -6.763942, -6.071473]",,,"[99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772, 99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772]",CCC(C)(C)CCN(Cc1ccsc1)C(=O)Cn1nnc2ccccc21,,,,,,78.45796958515659,,99.0
33,"[40.39817, 36.02077, 10.44887, 16.26066, -5.972548, 7.110177, -9.484358, 10.49833, 46.75405, 40.91752, 13.07036, 18.46173, -5.379003, 1.891925, -38.56807, -3.42525]",,,"[99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772, 99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772]",O=C(CCl)NC(CO)c1cccc(Cl)c1,,,,,,99.03000000000002,,99.0
37,"[57.27301, 27.75851, 7.922446, -0.3562421, -9.90227, -9.227616, -12.42434, -5.740858, 25.86696, 17.94767, 1.081337, -7.020807, -13.93127, -5.507566, -17.81526, -12.71438]",,,"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]",Cc1ccncc1NC(=O)CN(C)S(=O)(=O)c1cccc2cccnc12,,,,,,99.0,,
38,"[77.34636, 56.74539, 31.94015, 17.99184, 2.757512, 12.18004, 1.669346, 6.813404, 84.56783, 69.38296, 35.25411, 27.66168, 9.286509, 9.533819, -9.682206, -2.806974]",,,"[99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772, 99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772]",Cn1nncc1CC(=O)NC(c1ccccc1)c1nc2ccccc2n1C,,,,,,35.688684862569644,,99.0
74,"[28.77458, 26.77136, 3.252133, 14.18326, -9.385433, 8.866081, -9.731668, 6.640287, 34.04229, 34.66056, 5.30481, 15.34562, -4.711265, 5.403734, -13.16928, -1.545691]",,,"[99.01, 49.5, 24.75, 12.38, 6.188, 3.713, 1.238, 0.772, 99.01, 49.5, 24.75, 12.38, 6.188, 3.713, 1.238, 0.772]",C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,,,,,,99.01,,99.0
76,"[12.81123, 15.70846, -7.016749, 1.041195, -15.799, -0.769579, -15.52739, -1.493889, 3.395201, 10.1856, -11.36261, 1.765505, -20.68809, -2.580353, -18.33409, -2.670892, 25.89286, 19.41964, 12.72321, 8.035714, 2.232143, 3.125, 4.910714, 5.133928, 26.5625, 21.875, 9.151786, 6.696428, -0.8928571, 3.125, -4.017857, -5.803571]",,,"[99.0, 49.5, 24.8, 12.4, 6.19, 3.71, 1.24, 0.772, 99.0, 49.5, 24.8, 12.4, 6.19, 3.71, 1.24, 0.772, 99.0, 49.5, 24.8, 12.4, 6.19, 3.71, 1.24, 0.772, 99.0, 49.5, 24.8, 12.4, 6.19, 3.71, 1.24, 0.772]",C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,,,,,,99.0,,99.0
79,"[49.56994, 38.7053, 12.53961, 11.27207, -8.465368, 1.131734, -18.42463, -2.218198, 42.77954, 32.91082, 8.918062, 8.736985, -15.34631, 1.40335, -15.43685, -3.757356]",,,"[99.0, 49.5, 24.8, 12.4, 6.19, 3.71, 1.24, 0.772, 99.0, 49.5, 24.8, 12.4, 6.19, 3.71, 1.24, 0.772]",C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,,,,,,97.78883490712118,,
81,"[66.38793, -0.9137931, 44.81034, -16.94828, 22.68103, -19.69828, 11.06897, -12.19828, -0.3793103, -12.26724, -1.258621, -6.482759, -0.1810345, -1.887931, 2.181035, -30.33621, -2.862069, 3.741379, -11.09483, -8.672414, 60.19828, 41.4569, 14.68103, -3.905172, 73.15465, 21.37846, 58.85016, 7.509992, 42.00788, 8.194751, 27.06057, 9.835379, 15.41407, 18.41862, 2.3729, 1.419827, 2.998966, -1.335979, 11.13502, 40.30297, -1.771989, -0.1676961, -4.597669, 2.915118, 65.46298, 51.23117, 32.77341, 19.20121]",,,"[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]",O=C(CCl)N1CCN(C2(c3cccc(Cl)c3)CC2)CC1,,,,,,53.49906487830316,,99.0
95,"[42.0478, 25.65891, 11.32429, 7.383721, -4.496124, 2.616279, -5.310077, 2.267442, 36.45995, 30.1938, 12.29328, 9.728682, 2.939276, 1.653747, -9.819121, -8.262274]",,,"[99.0, 49.5, 24.8, 12.4, 6.19, 3.71, 1.24, 0.772, 99.0, 49.5, 24.8, 12.4, 6.19, 3.71, 1.24, 0.772]",C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,,,,,,99.0,,
113,"[69.3285, 47.56936, 25.49496, 12.58827, 4.845523, -3.212484, -2.581967, -1.598361, 64.50504, 46.85687, 26.09395, 11.30832, 2.266709, -3.24401, -4.278058, -6.907314]",,,"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]",C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCOC)c1cccnc1,,,,,,55.77798934221936,,99.0
114,"[69.97793, 50.77869, 29.4546, 14.39155, 4.435687, -2.096469, -5.129256, -1.075032, 66.07504, 51.59206, 32.46217, 17.27932, 2.777427, -1.737074, -9.795082, -7.531526]",,,"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]",C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCc1cccnc1)c1cccnc1,,,,,,49.86157555024028,,99.0
116,"[53.67276, 31.13178, 17.0145, 7.531526, 4.322194, -2.916141, -4.467213, -2.203657, 48.86822, 33.6034, 13.74212, 1.661412, -3.199874, -7.455864, -9.189786, -11.00567]",,,"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]",C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCC1CCCO1)c1cccnc1,,,,,,90.50045156881971,,99.0
119,"[93.39533, 81.49747, 69.88335, 65.99306, 55.51387, 56.0309, 58.5971, 50.41299, 62.77743, 59.4546, 45.50126, 41.18853, 33.07377, 30.45082, 19.89597, 19.34741]",,,"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]",C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(OC)cc1OC)c1cccnc1,,,,,,6.474407770575732,,
121,"[83.42686, 67.46848, 45.14817, 37.21627, 22.36759, 18.87453, 8.653846, 7.361286, 31.40921, 24.70681, 7.859395, 3.307062, -5.003152, -6.327239, -15.86066, -14.22762]",,,"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]",C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cncc(Cl)c1,,,,,,65.58400935171161,,99.0
123,"[75.45593, 57.56359, 34.0629, 19.90863, 10.13178, 0.6343373, 0.8281626, -4.138296, 76.1683, 60.24442, 35.28627, 33.75581, 6.758713, 5.17287, -6.532164, -2.89731]",,,"[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]",CN(C(=O)Cn1nnc2ccccc21)c1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,,,,,,37.8323685211715,,
124,"[42.05515, 32.5337, -43.06912, 8.59404, 10.62199, 15.02411, 8.816619, 8.544578, 49.94436, 42.20354, 20.98429, 17.47249, 10.39941, 2.658588, -3.771485, -16.06282]",,,"[99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772, 99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772]",C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,,,,,,99.03000000000002,,
125,"[34.46272, 34.6111, 14.87573, 20.2671, 8.049956, 2.163967, 7.827377, 16.03809, 39.35947, 37.33152, 13.3424, 16.58217, 6.368245, 7.110177, -10.20156, -5.675776]",,,"[99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772, 99.03, 49.52, 24.76, 12.38, 7.428, 2.476, 1.545, 0.772]",C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,,,,,,99.03000000000002,,
135,"[0.6198534965515137, 1.3869448900222778, -3.8736298084259033, -1.2415246963500977, 92.35816955566406, 79.32852172851562, 52.78570556640625, 30.58004379272461, 94.4122314453125, 18.364749908447266, 79.9501953125, 5.771363258361816, 53.42555236816406, -0.1908639818429947, 30.30010986328125, 0.4453492760658264, 21.916637420654297, 1.6523367166519165, 10.828349113464355, 4.204460620880127, 3.1392579078674316, -3.9790594577789307, 4.873393535614014, 2.3903441429138184]",,,"[0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833, 99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806]",Cc1ccc(S(=O)(=O)N2CCN(C(=O)CCl)CC2)cc1,,,,,,21.02621524971925,,
145,"[42.19207, -6.567614, 17.8596, -17.23083, 3.268734, -21.53747, -2.459087, -13.21705, -10.21102, -16.34367, -6.317829, -8.488372, -3.854436, -6.111111, 4.870801, 3.139535, 1.132644, 0.6416882, -13.29457, -16.25754, 37.04134, 17.94574, -1.571921, -11.24462, 48.45494, 8.893783, 32.64407, 1.435621, 20.47392, 4.535258, 12.37136, 3.986024, 1.30511, -4.070312, 3.115951, -0.4540696, 0.4676645, -1.585165, 3.65159, 10.58227, -1.623231, 1.538943, -6.10139, -2.950093, 42.33179, 26.01248, 9.918839, 0.3289965]",,,"[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]",Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,,,,,,99.49999999999996,,99.0
147,"[53.03448, -9.775862, 30.9569, -13.78448, 10.39655, -17.34483, 8.362069, -7.241379, -3.663793, -12.66379, -1.62931, -4.413793, -0.4482759, -3.689655, 5.094828, 6.87931, -0.4224138, 5.758621, -12.0431, -6.982759, 44.41379, 27.55172, 0.4482759, -3.87931, 55.31457, 17.14134, 39.43654, 5.047654, 30.14058, 7.19137, 16.04014, 5.044859, 4.849213, -0.5394226, -2.987786, 46.6866, -2.504262, -1.168283, 0.9279186, -0.6791694, -0.6679896, 0.1145924, -6.945415, 5.701669, 49.36974, 31.63308, 14.18709, 12.42628]",,,"[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]",Cc1ccncc1NC(=O)Cc1cccc(F)c1,,,,,,95.83864080886714,,99.0
156,"[13.62564, 9.644661, 5.578901, 0.8754469, 70.86697, 52.17848, 30.62958, 17.06845, 73.99277, 11.34764, 57.02938, 7.915883, 27.37108, -1.538944, 18.54289, -2.965461, 8.306609, -4.270338, -0.2045781, -4.68318, -0.9528549, -3.179255, 2.324081, -2.69269]",,,"[0.396, 0.02, 0.099, 0.02, 99.03, 49.52, 24.76, 12.38, 99.03, 7.428, 49.52, 2.476, 24.76, 1.545, 12.38, 0.772, 7.428, 0.396, 2.476, 0.02, 1.545, 0.099, 0.772, 0.02]",O=C(Cc1cccc(Cl)c1)Nc1nnn[nH]1,,,,,,45.28670943122255,,99.0
159,"[57.605796813964844, 9.130766868591309, 41.55785369873047, 3.42165470123291, 24.835588455200195, 3.426420211791992, 18.509340286254883, 6.9981889724731445, 88.164794921875, -2.6925277709960938, 0.7624857425689697, -0.6910026669502258, 3.6885247230529785, 1.0746283531188965, 2.030118227005005, 0.5432710647583008, 3.8291079998016357, 4.860846519470215, -5.609035491943359, -2.182615280151367, 49.640201568603516, 32.75114440917969, 17.91364860534668, 9.564430236816406]",,,"[99.5, 7.4629998207092285, 49.75, 2.48799991607666, 24.8799991607666, 1.5520000457763672, 12.4399995803833, 0.7760000228881836, 7.4629998207092285, 0.3880000114440918, 2.48799991607666, 0.1940000057220459, 1.5520000457763672, 0.10000000149011612, 0.7760000228881836, 0.05000000074505806, 0.3880000114440918, 0.1940000057220459, 0.10000000149011612, 0.05000000074505806, 99.5, 49.75, 24.8799991607666, 12.4399995803833]",O=C(Cn1cnc2ccccc21)Nc1cccc(Cl)c1,,,,,,87.1939010151352,,
168,"[42.19207, -6.567614, 17.8596, -17.23083, 3.268734, -21.53747, -2.459087, -13.21705, -10.21102, -16.34367, -6.317829, -8.488372, -3.854436, -6.111111, 4.870801, 3.139535, 1.132644, 0.6416882, -13.29457, -16.25754, 37.04134, 17.94574, -1.571921, -11.24462, 48.45494, 8.893783, 32.64407, 1.435621, 20.47392, 4.535258, 12.37136, 3.986024, 1.30511, -4.070312, 3.115951, -0.4540696, 0.4676645, -1.585165, 3.65159, 10.58227, -1.623231, 1.538943, -6.10139, -2.950093, 42.33179, 26.01248, 9.918839, 0.3289965]",,,"[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4, 99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]",Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,,,,,,99.49999999999996,,99.0
