,f_inhibition_list,r_concentration_uM,r_inhibition_list,f_concentration_uM,SMILES,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,trypsin_IC50
13,,"[100.0, 33.333333333333336, 11.111111111111112, 3.703703703703704, 1.234567901234568, 0.41152263374485604, 0.13717421124828535, 0.045724737082761785, 0.015241579027587262, 0.005080526342529088, 0.0016935087808430292, 100.0, 33.333333333333336, 11.111111111111112, 3.703703703703704, 1.234567901234568, 0.41152263374485604, 0.13717421124828535, 0.045724737082761785, 0.015241579027587262, 0.005080526342529088, 0.0016935087808430292]","[45.4397475906812, 19.954840041823335, 1.1405103358436908, -36.98351250651069, -5.570142366288297, 3.6090354135345377, -0.6273738908188095, -8.481952124343307, -6.753572857374819, -7.750700228888327, -3.5963043078966592, 41.810991044739296, 13.906204866229999, 3.1066390571358036, -3.7651128262175257, 1.6812008471887148, 4.893042649694637, 1.3932233502193563, 5.614052401892415, -1.0564094939876008, -2.9601894500416503, -4.458844297124202]",,O=C(Nc1cccnc1)N(CCN1CCOCC1)c1cccc(Cl)c1,,,99.0,,,,,
19,,"[33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]","[39.77790571957318, -0.11117527949091839, -3.56350864190573, -4.2215990640408, -3.8028019832465025, -4.301860921373259, 16.29796148457402, 16.272536473574963, 13.937135683804373, 15.646424815598545, 38.10544331200933, -0.8817349707171364, -4.265487536890046, -5.755235994617477, -2.235166301144492, -4.597940378680421, 30.75983273315441, 15.764390274639654, 15.62278800562614, 10.39492999450862]",,CS(=O)(=O)N(CCc1ccccc1)CC1CCN(C(=O)CCl)CC1,,,99.0,,,,,
25,,"[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]","[100.13368642610337, 65.83891631908926, 27.308992845540516, 22.35188975447861, -0.3709290298212001, -1.078207004516773, -1.2379334137349611, -15.596646778090564, -6.602017066493447, -7.157881057143451, -4.480115790251368, 97.01908273748182, 67.563072879928, 27.481332183367318, 20.24470887751332, -0.019835548534537, -6.2789458447832365, -6.670386425321645, -6.539762933957373, -8.58741232263222, -6.148223912207504, -4.778519637831198]",,O=C(CCl)N1CCN(Cc2cccc(Cl)c2)C[C@@H]1Cc1ccccc1,,,18.85071501312264,,,,,
32,,"[200.0, 66.66666667, 22.22222222, 7.407407407, 2.469135802, 0.823045267, 0.274348422, 0.091449474, 0.030483158, 0.010161053, 0.003387018, 200.0, 66.66666667, 22.22222222, 7.407407407, 2.469135802, 0.823045267, 0.274348422, 0.091449474, 0.030483158, 0.010161053, 0.003387018, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]","[-65.09966168922148, -35.31065265652198, -20.422569639251734, -15.223230712904485, -4.830396930841867, -0.794356679037649, -2.870444435825482, -1.8556833685855492, 1.5961539312358373, 1.4166452958353641, 0.9206713649454551, -72.4324599189856, -42.831984496548955, -20.888325391027276, -10.75299282615008, -6.278880864710157, -3.396507685669498, -0.9176545732124227, -2.4543483285175443, -4.8819494824603575, 1.2996194747013685, 3.267054225614912, -9.997868083571111, -5.61595985437371, 5.837351175833913, 2.006461346715211, 2.911705861130243, -0.9716619108530871, -1.9687428252812482, -2.9264652825609283, -1.089737282298531, -1.6276361966610837, -1.3652464823378812, -9.118862540588413, -5.366689625766674, 4.814031289973436, 3.397126832628166, 1.9277444324182484, 4.10557906130081, 0.5501984322214599, -1.6407556823772502, -2.5328807110761153, 4.564761061366401, 0.7863491751123476]",,CC1C(O)CCCN1Cc1ccccc1,,,99.0,,,,,
36,,"[100.0, 33.333333333333336, 11.111111111111112, 3.703703703703704, 1.234567901234568, 0.41152263374485604, 0.13717421124828535, 0.045724737082761785, 0.015241579027587262, 0.005080526342529088, 0.0016935087808430292, 100.0, 33.333333333333336, 11.111111111111112, 3.703703703703704, 1.234567901234568, 0.41152263374485604, 0.13717421124828535, 0.045724737082761785, 0.015241579027587262, 0.005080526342529088, 0.0016935087808430292]","[28.741913551655696, 43.73874386901767, 19.203114094592205, 1.7908096413653505, -4.593258656921329, -3.2122121283570024, -3.4609156964980974, -3.130898947272872, -0.154865114548749, -0.03158193263832, 0.21746988740471043, 34.26580050364228, 33.29750904287949, 19.65985410952192, 5.360820045933265, -7.358430722217545, -7.390743911053645, -3.5150164759204197, -6.295443035336218, -4.920249042274155, -2.9290266290637614, -1.8934957385762068]",,Cc1ccn2c(-c3ccc4[nH]ncc4c3)c(-c3ccc(F)cc3)nc2c1,,,99.0,,,,,
39,,"[100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 100.0, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]","[99.17637054762258, 84.6909439113727, 29.484512498962474, 12.990283260698263, 6.859098297617241, 6.2956517353238315, 5.265815292763975, 3.520700227586885, 0.000574998086171848, -3.3354182435029243, -3.2570593360629116, 99.09082956317131, 84.09528018536595, 30.034736297187457, 9.990605733788756, 4.728915476306899, 2.6202621453771453, 2.8249212998480293, -0.37666520492493244, 0.22182035586808782, -3.3128038463464535, -1.185122562097436]",,NS(=O)(=O)c1ccc(N2CCC(N3CCCCCC3)CC2)cc1,,,15.75805815108697,,,,,
40,,"[100.0, 33.333333333333336, 11.111111111111112, 3.703703703703704, 1.234567901234568, 0.41152263374485604, 0.13717421124828535, 0.045724737082761785, 0.015241579027587262, 0.005080526342529088, 0.0016935087808430292, 100.0, 33.333333333333336, 11.111111111111112, 3.703703703703704, 1.234567901234568, 0.41152263374485604, 0.13717421124828535, 0.045724737082761785, 0.015241579027587262, 0.005080526342529088, 0.0016935087808430292]","[47.19661068448569, 45.45213699894396, 34.35817275874892, 5.348438898268969, 34.085979821637316, 7.056280852798825, 5.944586603080141, 8.254101297498782, 7.123591055655814, 2.7007970321638797, 0.5157980923683291, 46.118448136108434, 46.944477567319275, 32.52009913838415, 5.674503484129242, 30.849442203057315, 15.884067043546715, 5.915237542468518, 4.632787788565689, 5.505687916288796, 3.689409264430041, 2.739368473999133]",,NS(=O)(=O)c1ccc(N2CCC([C@@H]3CCCO3)CC2)cc1,,,99.0,,,,,
41,,"[100.0, 33.333333333333336, 11.111111111111112, 3.703703703703704, 1.234567901234568, 0.41152263374485604, 0.13717421124828535, 0.045724737082761785, 0.015241579027587262, 0.005080526342529088, 0.0016935087808430292, 100.0, 33.333333333333336, 11.111111111111112, 3.703703703703704, 1.234567901234568, 0.41152263374485604, 0.13717421124828535, 0.045724737082761785, 0.015241579027587262, 0.005080526342529088, 0.0016935087808430292]","[81.70123124373487, 42.83658160637857, 15.459324729919507, 6.944274635739631, 14.354227424472777, 6.7599840718766995, 6.59581701542455, 5.974832331064137, 6.511348778036193, 5.234737285140349, 1.2584306620431258, 78.5645234650561, 42.22564974569274, 14.571969887745958, 3.101867514283518, 13.592661033230804, 4.3427815520678905, 5.301650393424852, 5.292342034202004, 5.214081286185967, 5.330899672317941, -0.46586980924310595]",,NS(=O)(=O)c1ccc(N2CCC(Nc3ccc(F)cc3)CC2)cc1,,,39.21840674546452,,,,,
51,,"[100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002, 100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002]","[89.13976757468355, 28.341546911392406, -19.63350531645571, -38.381870278481, -19.298861468354442, -10.901312582278486, -9.723292177215182, -7.797002278481012, -21.724398531645566, -31.993481696202547, 93.62284178734178, 87.86248881265823, 16.79838440506329, -33.90169116455696, -31.73148774683545, -26.556524810126586, -24.63986703797468, -15.710012810126589, -17.319405645569624, -26.271581468354437, -36.44050526582279, 106.57689167848103]",,O=C(CCl)N1CCN(Cc2cccc(CNC(=O)N3CCOCC3)c2)CC1,,,50.31752086925554,,,,,
52,,"[100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002, 100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002]","[96.59775726600046, 79.87642077961706, 28.288453225519365, -4.828743611259442, -2.8758867953314526, 6.3188140463295, -20.288860070689342, -11.338266331019396, -7.025707529178426, -19.515854247717854, 0.17545197955602965, 95.74338240903198, 78.98136140565008, 30.44473262643986, -7.880082386146925, 5.179647570371502, -9.059933379103414, -32.494215170239265, -4.5032674752714374, -3.1199938973224457, -20.207491036692343, -9.426094032089912]",,CC(=O)Nc1ccc(C#N)cc1CN1CCN(C(=O)CCl)CC1,,,17.49241139397497,,,,,
